intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Dec 14 2023|  TO Thu Dec 21 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1702630200000,230,229,230,
1702630800000,230,229,229,
1702631400000,230,230,230,
1702632000000,230,229,229,
1702632600000,230,229,229,
1702633200000,231,229,229,
1702633800000,230,229,229,
1702634400000,230,229,229,
1702635000000,230,229,229,
1702635600000,230,229,230,
1702636200000,230,229,229,
1702636800000,231,230,231,
1702637400000,230,229,229,
1702638000000,230,229,229,
1702638600000,230,229,230,
1702639200000,230,230,231,
1702639800000,230,229,229,
1702640400000,230,230,230,
1702641000000,230,229,230,
1702641600000,230,229,230,
1702642200000,231,229,230,
1702642800000,230,229,230,
1702643400000,230,229,230,
1702644000000,230,229,230,
1702644600000,230,229,230,
1702645200000,230,229,230,
1702645800000,230,229,230,
1702646400000,230,229,230,
1702647000000,230,229,230,
1702647600000,230,229,230,
1702648200000,230,229,230,
1702648800000,230,229,230,
1702649400000,230,229,230,
1702650000000,231,229,230,
1702650600000,230,229,230,
1702651200000,230,229,231,
1702651800000,231,230,230,
1702652400000,230,230,231,
1702653000000,230,229,230,
1702653600000,230,230,230,
1702654200000,229,230,231,
1702654800000,231,230,231,
1702655400000,231,230,230,
1702656000000,231,230,231,
1702656600000,230,229,231,
1702657200000,230,230,231,
1702657800000,230,229,230,
1702658400000,230,230,231,
1702659000000,230,230,230,
1702659600000,231,230,231,
1702660200000,230,230,230,
1702660800000,231,230,230,
1702661400000,230,230,230,
1702662000000,230,229,230,
1702662600000,231,230,232,
1702663200000,231,230,231,
1702663800000,231,230,231,
1702664400000,230,229,230,
1702665000000,230,229,230,
1702665600000,230,229,230,
1702666200000,230,230,230,
1702666800000,230,230,230,
1702667400000,230,230,230,
1702668000000,230,229,231,
1702668600000,231,229,230,
1702669200000,231,230,230,
1702669800000,230,230,230,
1702670400000,231,230,231,
1702671000000,230,229,230,
1702671600000,230,230,231,
1702672200000,231,230,231,
1702672800000,231,230,231,
1702673400000,230,230,231,
1702674000000,230,230,230,
1702674600000,230,230,231,
1702675200000,230,230,231,
1702675800000,230,229,231,
1702676400000,231,230,231,
1702677000000,230,230,231,
1702677600000,230,230,231,
1702678200000,231,230,231,
1702678800000,230,230,231,
1702679400000,230,229,230,
1702680000000,230,230,231,
1702680600000,230,229,230,
1702681200000,230,229,231,
1702681800000,231,230,232,
1702682400000,230,230,231,
1702683000000,230,229,231,
1702683600000,230,230,231,
1702684200000,231,230,232,
1702684800000,230,229,230,
1702685400000,230,230,231,
1702686000000,230,230,231,
1702686600000,230,229,231,
1702687200000,231,230,232,
1702687800000,231,230,231,
1702688400000,230,230,231,
1702689000000,231,230,230,
1702689600000,230,229,231,
1702690200000,231,230,230,
1702690800000,231,230,231,
1702691400000,231,231,231,
1702692000000,231,230,230,
1702692600000,230,230,231,
1702693200000,230,229,231,
1702693800000,230,230,231,
1702694400000,231,230,230,
1702695000000,230,230,230,
1702695600000,230,229,230,
1702696199000,230,230,231,
1702696800000,231,230,231,
1702697400000,230,230,231,
1702698000000,231,230,230,
1702698600000,230,230,230,
1702699200000,230,230,231,
1702699800000,230,230,231,
1702700400000,231,230,230,
1702701000000,230,230,230,
1702701600000,231,230,230,
1702702200000,230,229,230,
1702702800000,231,230,230,
1702703400000,230,230,230,
1702704000000,231,230,230,
1702704600000,230,230,230,
1702705200000,230,229,230,
1702705800000,231,229,229,
1702706400000,230,230,230,
1702707000000,231,229,230,
1702707600000,230,230,230,
1702708200000,231,230,230,
1702708800000,230,229,230,
1702709400000,231,230,230,
1702710000000,230,230,230,
1702710600000,231,230,230,
1702711200000,231,230,230,
1702711800000,230,229,229,
1702712400000,230,229,230,
1702713000000,231,231,231,
1702713600000,230,229,230,
1702714200000,232,231,231,
1702714800000,231,230,231,
1702715400000,231,230,230,
1702716000000,230,229,230,
1702716600000,232,230,231,
1702717200000,230,229,230,
1702717800000,232,230,231,
1702718400000,231,230,231,
1702719000000,230,229,230,
1702719600000,230,230,230,
1702720200000,230,229,230,
1702720800000,230,230,231,
1702721400000,231,230,231,
1702722000000,230,230,230,
1702722600000,231,230,230,
1702723200000,231,230,230,
1702723800000,231,230,230,
1702724400000,231,230,230,
1702725000000,230,229,230,
1702725600000,231,231,231,
1702726200000,231,229,230,
1702726800000,231,230,230,
1702727400000,230,230,231,
1702728000000,230,230,231,
1702728600000,230,230,230,
1702729200000,231,231,231,
1702729800000,230,230,230,
1702730400000,230,229,229,
1702731000000,232,230,231,
1702731600000,231,230,230,
1702732200000,231,230,230,
1702732800000,230,229,230,
1702733400000,231,230,231,
1702734000000,231,230,230,
1702734600000,230,230,230,
1702735200000,230,229,230,
1702735800000,230,230,230,
1702736400000,230,230,230,
1702737000000,230,230,230,
1702737600000,231,230,231,
1702738200000,229,230,231,
1702738800000,231,230,231,
1702739400000,231,230,230,
1702740000000,230,229,230,
1702740600000,230,229,230,
1702741200000,230,230,231,
1702741800000,231,230,230,
1702742400000,231,230,231,
1702743000000,231,230,231,
1702743600000,231,230,232,
1702744200000,230,229,230,
1702744800000,231,230,231,
1702745400000,231,230,231,
1702746000000,231,230,231,
1702746600000,230,229,230,
1702747200000,231,230,231,
1702747800000,230,229,231,
1702748400000,230,230,230,
1702749000000,231,230,231,
1702749600000,231,231,231,
1702750200000,230,230,230,
1702750800000,230,229,230,
1702751400000,230,230,230,
1702752000000,231,230,231,
1702752600000,230,230,230,
1702753200000,230,230,231,
1702753800000,230,229,230,
1702754400000,230,230,230,
1702755000000,230,230,230,
1702755600000,230,230,231,
1702756200000,230,229,230,
1702756800000,230,229,230,
1702757400000,230,229,230,
1702758000000,230,230,230,
1702758600000,231,230,232,
1702759200000,231,230,230,
1702759800000,231,230,231,
1702760400000,231,231,231,
1702761000000,230,230,230,
1702761600000,230,229,230,
1702762200000,230,229,231,
1702762800000,230,230,231,
1702763400000,231,230,230,
1702764000000,231,230,230,
1702764600000,231,230,231,
1702765200000,231,230,230,
1702765800000,231,230,231,
1702766400000,230,230,231,
1702767000000,230,229,231,
1702767600000,230,230,230,
1702768200000,231,231,232,
1702768800000,231,230,231,
1702769400000,232,230,231,
1702770000000,230,230,231,
1702770600000,231,230,231,
1702771200000,231,230,231,
1702771800000,230,229,230,
1702772400000,230,230,230,
1702773000000,230,230,231,
1702773600000,231,230,230,
1702774200000,230,229,230,
1702774800000,231,230,231,
1702775400000,230,230,230,
1702776000000,231,230,230,
1702776600000,231,229,231,
1702777200000,231,230,230,
1702777800000,231,231,232,
1702778400000,230,229,230,
1702779000000,231,230,231,
1702779600000,231,230,231,
1702780200000,230,230,230,
1702780800000,231,230,231,
1702781400000,231,230,231,
1702782000000,230,230,230,
1702782600000,230,230,231,
1702783200000,231,230,231,
1702783800000,231,230,231,
1702784400000,231,230,231,
1702785000000,231,230,231,
1702785600000,231,230,231,
1702786200000,230,229,230,
1702786800000,231,230,230,
1702787400000,231,229,230,
1702788000000,231,230,231,
1702788600000,232,230,231,
1702789200000,231,230,230,
1702789800000,231,230,230,
1702790400000,231,230,230,
1702791000000,232,230,231,
1702791600000,231,230,231,
1702792200000,231,230,230,
1702792800000,231,230,230,
1702793400000,232,230,231,
1702794000000,232,230,230,
1702794600000,231,230,230,
1702795200000,231,229,230,
1702795800000,231,230,230,
1702796400000,231,230,230,
1702797000000,231,230,230,
1702797600000,231,229,230,
1702798200000,231,229,230,
1702798800000,231,230,230,
1702799400000,231,230,230,
1702800000000,231,229,230,
1702800600000,230,229,230,
1702801200000,231,229,230,
1702801800000,231,229,230,
1702802400000,230,229,230,
1702803000000,231,230,230,
1702803600000,232,230,230,
1702804200000,231,230,231,
1702804800000,231,230,230,
1702805400000,231,229,230,
1702806000000,231,230,229,
1702806600000,231,229,230,
1702807200000,231,230,230,
1702807800000,231,230,229,
1702808400000,231,230,230,
1702809000000,231,230,230,
1702809600000,231,231,231,
1702810200000,231,231,231,
1702810800000,231,230,231,
1702811400000,231,230,230,
1702812000000,231,230,230,
1702812600000,231,230,230,
1702813200000,232,230,231,
1702813800000,230,229,231,
1702814400000,230,230,230,
1702815000000,231,230,231,
1702815600000,231,229,230,
1702816200000,230,230,230,
1702816800000,230,230,230,
1702817400000,231,230,230,
1702818000000,231,230,230,
1702818600000,230,230,230,
1702819200000,231,230,230,
1702819800000,231,230,231,
1702820400000,230,230,230,
1702821000000,231,230,230,
1702821600000,231,230,230,
