intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Wed Oct 11 2023|  TO Wed Oct 18 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1697100600000,229,230,230,
1697101200000,230,228,229,
1697101800000,230,229,228,
1697102400000,230,230,229,
1697103000000,229,229,228,
1697103600000,229,228,228,
1697104200000,230,229,230,
1697104800000,230,228,228,
1697105400000,230,230,229,
1697106000000,230,228,229,
1697106600000,229,229,229,
1697107200000,230,229,228,
1697107800000,230,228,228,
1697108400000,229,228,228,
1697109000000,229,229,229,
1697109600000,230,229,229,
1697110200000,229,229,229,
1697110800000,229,229,229,
1697111400000,229,229,230,
1697112000000,229,229,230,
1697112600000,229,229,229,
1697113200000,229,229,230,
1697113800000,229,229,230,
1697114400000,229,229,229,
1697115000000,229,229,230,
1697115600000,230,229,230,
1697116200000,230,229,230,
1697116800000,230,229,230,
1697117400000,230,230,230,
1697118000000,231,230,230,
1697118600000,231,230,230,
1697119200000,230,229,230,
1697119800000,230,229,230,
1697120400000,230,229,230,
1697121000000,230,229,230,
1697121600000,230,230,230,
1697122200000,230,229,230,
1697122800000,230,229,230,
1697123400000,230,229,230,
1697124000000,230,229,230,
1697124600000,230,229,230,
1697125200000,230,229,230,
1697125800000,230,229,230,
1697126400000,230,229,230,
1697127000000,230,229,230,
1697127600000,230,229,230,
1697128200000,230,229,230,
1697128800000,230,229,230,
1697129400000,231,230,230,
1697130000000,230,229,230,
1697130600000,230,229,230,
1697131200000,230,229,230,
1697131800000,230,229,230,
1697132400000,230,229,230,
1697133000000,230,229,230,
1697133600000,230,229,230,
1697134200000,230,229,230,
1697134800000,230,229,230,
1697135400000,230,229,230,
1697136000000,230,229,230,
1697136600000,230,229,231,
1697137200000,230,229,230,
1697137800000,231,229,230,
1697138400000,230,229,230,
1697139000000,230,229,230,
1697139600000,230,229,230,
1697140200000,230,229,230,
1697140800000,230,229,230,
1697141400000,230,229,230,
1697142000000,230,229,230,
1697142600000,230,229,230,
1697143200000,230,229,230,
1697143800000,230,229,230,
1697144400000,230,229,231,
1697145000000,230,229,230,
1697145600000,230,229,230,
1697146200000,230,229,230,
1697146800000,230,229,231,
1697147400000,230,229,230,
1697148000000,230,229,230,
1697148600000,230,229,230,
1697149200000,231,229,230,
1697149800000,230,229,230,
1697150400000,230,229,230,
1697151000000,230,229,230,
1697151600000,230,229,230,
1697152200000,230,229,230,
1697152800000,230,229,230,
1697153400000,230,229,230,
1697154000000,230,229,230,
1697154600000,230,229,230,
1697155200000,230,229,230,
1697155800000,230,229,230,
1697156400000,230,229,230,
1697157000000,230,229,230,
1697157600000,230,229,230,
1697158200000,230,229,230,
1697158800000,230,229,230,
1697159400000,230,229,230,
1697160000000,230,229,230,
1697160600000,230,230,230,
1697161200000,230,229,230,
1697161800000,230,229,230,
1697162400000,230,229,230,
1697163000000,230,230,231,
